CONTENT,TOPIC
推进基础设施建设和区域协调发展。京津冀协同发展、长江经济带建设取得重要进展。新建铁路投产里程8427公里，高速铁路运营里程达1.6万公里，占世界的60%以上。高速公路通车里程达11.2万公里，水路、民航、管道建设进一步加强。农网改造稳步进行。宽带用户超过7.8亿户。经过多年努力，南水北调中线一期工程正式通水，惠及沿线亿万群众。,基建
七是加快建立多主体供应、多渠道保障、租购并举的住房制度。要发展住房租赁市场特别是长期租赁，保护租赁利益相关方合法权益，支持专业化、机构化住房租赁企业发展。完善促进房地产市场平稳健康发展的长效机制，保持房地产市场调控政策连续性和稳定性，分清中央和地方事权，实行差别化调控。,房地产
会议认为，坚持标准引领，建设制造强国，是结构性改革尤其是供给侧结构性改革的重要内容，有利于改善供给、扩大需求，促进产品产业迈向中高端。会议通过了《装备制造业标准化和质量提升规划》，要求对接《中国制造2025》，瞄准国际先进水平，实施工业基础和智能制造、绿色制造标准化和质量提升工程，加快关键技术标准研制，推动在机器人、先进轨道交通装备、农业机械、高性能医疗器械等重点领域标准化实现新突破，并适应创新进展和市场需求及时更新标准，力争到2020年使重点领域国际标准转化率从目前的70%以上提高到90%以上。要弘扬工匠精神，追求精益求精，生产更多有创意、品质优、受群众欢迎的产品，坚决淘汰不达标产品，提振消费者对“中国制造”的信心，支撑制造业提质增效、提升国际竞争力。,制造业
会议指出，党的十八大以来，党中央部署推进科技评价体系改革，聚焦“四个面向”的科技成果评价导向逐步确立，激励创新的环境正在形成，带动我国科技创新能力明显提升。同时，分类的科技成果评价体系尚未建立，指标单一化、标准定量化、结果功利化问题还不同程度存在。,科技
会议强调，完善促进消费体制机制，要顺应居民消费新趋势，从供需两端发力，积极培育重点消费领域细分市场，营造安全放心消费环境，提升居民消费能力，引导形成合理消费预期，切实增强消费对经济发展的基础性作用。,零售消费
国务院总理李克强9月2日主持召开国务院常务会议，要求坚持稳健的货币政策灵活适度，着眼服务实体经济明确金融控股公司准入规范；听取大气重污染成因与治理攻关项目研究成果汇报，部署加强大气污染科学防治、促进绿色发展；核准海南昌江核电二期工程和浙江三澳核电一期工程。,绿色发展
会议指出，医疗服务价格是人民群众最关心最直接最现实的利益问题。近几年，党中央部署推动一系列改革，通过取消药品加成、带量集中招采和加强成本控制，把药品耗材价格降下来了，老百姓负担减轻了，也为调整医疗服务价格创造了条件。,医药健康
会议指出，义务教育最突出的问题之一是中小学生负担太重，短视化、功利化问题没有根本解决。特别是校外培训机构无序发展，“校内减负、校外增负”现象突出。减轻学生负担，根本之策在于全面提高学校教学质量，做到应教尽教，强化学校教育的主阵地作用。要深化教育教学改革，提升课堂教学质量，优化教学方式，全面压减作业总量，降低考试压力。要鼓励支持学校开展各种课后育人活动，满足学生的多样化需求。要加强教师队伍建设，优化教师资源配置，提高教育教学水平，依法保障教师权益和待遇。,教育
会议认为，发展通用航空业，有利于完善综合交通体系，培育新增长点，带动扩大就业和服务业升级。为此，一要加快在偏远地区和地面交通不便、自然灾害多发地区和人口密集、地面交通拥堵严重的城市建设通用机场，在农产品主产区、重点国有林区等发展通用航空，满足抢险救灾、应急救援、医疗救护、工农林业发展等需要。合理确定通用机场标准，鼓励企业和个人参与建设。二要加快通用飞机、导航通信等核心装备研发应用，培育具有国际竞争力的通用航空企业。扩大通用航空在资源勘查、环境监测、运输服务等领域的应用。三要稳步扩大低空空域开放，简化通用航空飞行任务审批备案。强化安全监管，确保飞行和空防安全。,交通运输
为进一步扩大开放、保持进出口稳定增长，会议确定：一是推进更高水平贸易便利化，今年将进口和出口整体通关时间、进出口监管证件再压减1/3并降低通关费用。削减进出口环节审批，今年11月1日前对需在口岸验核的监管证件原则上全部实现联网、在通关环节比对核查。推进海关、边检、海事一次性联合检查和铁路运输货物无纸化通关。推行进口矿产品等大宗资源性商品“先验放后检测”。开通农副产品快速通关“绿色通道”。清理规范涉企收费，今年底前公示口岸政府性收费目录清单，清单外一律不得收费。二是进一步降低进出口企业成本，完善出口退税政策，加快出口退税进度，降低出口查验率，扩大出口信用保险覆盖面，鼓励金融机构增加出口信用保险保单融资和出口退税账户质押融资、加大对外贸企业尤其是中小微企业信贷投放。鼓励和支持企业开拓多元化市场。扩大国内企业需要的原材料进口。,出口贸易
