ID	TITLE	CONTENT	TOPIC
m-941334512-1560944340	李克强主持召开国务院常务会议部署推进城镇老旧小区改造 顺应群众期盼改善居住条件确定提前完成农村电网改造升级任务的措施 助力乡村振兴要求巩固提高农村饮水安全水平 支持脱贫攻坚保障基本民生	国务院总理李克强6月19日主持召开国务院常务会议，部署推进城镇老旧小区改造，顺应群众期盼改善居住条件；确定提前完成农村电网改造升级任务的措施，助力乡村振兴；要求巩固提高农村饮水安全水平，支持脱贫攻坚、保障基本民生。	"基建, 农业农村, 民生扶贫"
m-941334512-1560944340	李克强主持召开国务院常务会议部署推进城镇老旧小区改造 顺应群众期盼改善居住条件确定提前完成农村电网改造升级任务的措施 助力乡村振兴要求巩固提高农村饮水安全水平 支持脱贫攻坚保障基本民生	会议指出，按照中央经济工作会议和《政府工作报告》部署，积极做好“六稳”工作，稳投资是重要方面。要找准切入点，抓住既能满足群众期盼、有利于拓展内需促消费、又不会导致重复建设的重大项目，扩大有效投资，努力实现稳增长、调结构、惠民生的一举多得之效。	基建
m-941334512-1560944340	李克强主持召开国务院常务会议部署推进城镇老旧小区改造 顺应群众期盼改善居住条件确定提前完成农村电网改造升级任务的措施 助力乡村振兴要求巩固提高农村饮水安全水平 支持脱贫攻坚保障基本民生	会议认为，加快改造城镇老旧小区，群众愿望强烈，是重大民生工程和发展工程。据各地初步摸查，目前全国需改造的城镇老旧小区涉及居民上亿人，量大面广，情况各异，任务繁重。会议确定，一要抓紧明确改造标准和对象范围，今年开展试点探索，为进一步全面推进积累经验。二要加强政府引导，压实地方责任，加强统筹协调，发挥社区主体作用，尊重居民意愿，动员群众参与。重点改造建设小区水电气路及光纤等配套设施，有条件的可加装电梯，配建停车设施。促进住户户内改造并带动消费。三要创新投融资机制。今年将对城镇老旧小区改造安排中央补助资金。鼓励金融机构和地方积极探索，以可持续方式加大金融对老旧小区改造的支持。运用市场化方式吸引社会力量参与。四要在小区改造基础上，引导发展社区养老、托幼、医疗、助餐、保洁等服务。推动建立小区后续长效管理机制。	房地产
m-941334512-1560944340	李克强主持召开国务院常务会议部署推进城镇老旧小区改造 顺应群众期盼改善居住条件确定提前完成农村电网改造升级任务的措施 助力乡村振兴要求巩固提高农村饮水安全水平 支持脱贫攻坚保障基本民生	会议指出，新一轮农村电网改造升级工程自2016年实施以来，完成了农村机井通电、贫困村通动力电等任务，改善了农村生产生活条件，带动了农村消费。下一步，一是各地和电网企业要加大工作力度，确保今年以省为单位，提前一年完成“十三五”规划明确的全部改造升级任务。进一步缩短企业获得电力时间，优化营商环境。二是今年相关中央预算内投资全部用于贫困地区电网改造升级，并提高中央资本金比例。重点推进“三区三州”、抵边村寨等农网改造建设攻坚，确保明年上半年完成。三是建立农网供电监测评价体系，将机井通电纳入电网企业日常服务范围，提高农村电力服务水平。	农业农村
m-941334512-1560944340	李克强主持召开国务院常务会议部署推进城镇老旧小区改造 顺应群众期盼改善居住条件确定提前完成农村电网改造升级任务的措施 助力乡村振兴要求巩固提高农村饮水安全水平 支持脱贫攻坚保障基本民生	会议指出，通过实施农村供水工程，农村居民饮水已提前实现联合国千年发展目标，农村集中供水率、自来水普及率均达到80%以上。会议要求，一要加大工程建设力度，到明年全面解决6000万农村人口饮水存在的供水水量不达标、氟超标等问题。二要建立合理的水价形成和水费收缴机制，以政府与社会资本合作等方式吸引社会力量参与供水设施建设运营。中央和地方财政对中西部贫困地区饮水安全工程维修养护给予补助。三要加强集中式饮用水水源地保护，研究提升农村饮水安全水平的新标准，启动编制下一步农村供水规划。	农业农村
m-221628530-1512033180	审议通过中国共产党党务公开条例试行	中共中央政治局11月30日召开会议，审议通过《中国共产党党务公开条例（试行）》。中共中央总书记习近平主持会议。	宏观
m-221628530-1512033180	审议通过中国共产党党务公开条例试行	会议指出，推进党务公开，是贯彻落实党的十九大精神的重要举措，是发扬党内民主、发展社会主义民主政治的必然要求，对于推进全面从严治党，加强党内监督，充分调动全党积极性、主动性、创造性具有重要意义。《条例》制定出台，为做好党务公开工作提供了基本遵循，有利于推进党务公开工作制度化、规范化、程序化。	宏观
m-221628530-1512033180	审议通过中国共产党党务公开条例试行	会议强调，党务公开政治性、政策性强。要坚持正确方向，认真贯彻落实习近平新时代中国特色社会主义思想，把党务公开放到新时代坚持和发展中国特色社会主义、推进党的建设新的伟大工程的实践中谋划和推进，把坚持和完善党的领导要求贯穿到党务公开全过程和各方面。要坚持发扬民主，保障党员民主权利，落实党员知情权、参与权、选举权、监督权，更好调动全党积极性、主动性、创造性，及时回应党员和群众关切，以公开促落实、促监督、促改进。要积极稳妥、有序推进，统筹各层级各领域党务公开工作。	政策
m-221628530-1512033180	审议通过中国共产党党务公开条例试行	会议要求，各级党委要认真抓好《条例》的学习培训和宣传解读，全面准确掌握《条例》的主要内容和工作要求。要加强对党务公开工作的组织领导，紧密结合实际抓好贯彻落实。	企业发展
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	中共中央总书记、国家主席、中央军委主席、中央全面深化改革领导小组组长习近平8月29日下午主持召开中央全面深化改革领导小组第三十八次会议并发表重要讲话。他强调，改革是我们进行具有新的历史特点的伟大斗争的重要方面。全面深化改革，必须加强党对改革的领导，必须坚持问题导向，必须狠抓改革落实，必须深化对改革规律的认识和运用。要继续高举改革旗帜，站在更高起点谋划和推进改革，坚定改革定力，增强改革勇气，总结运用好党的十八大以来形成的改革新经验，再接再厉，久久为功，坚定不移将改革进行到底。	区域发展
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议审议通过了《关于完善主体功能区战略和制度的若干意见》、《关于探索建立涉农资金统筹整合长效机制的意见》、《生态环境损害赔偿制度改革方案》、《关于建立健全村务监督委员会的指导意见》、《关于加强法官检察官正规化专业化职业化建设全面落实司法责任制的意见》、《关于上海市开展司法体制综合配套改革试点的框架意见》。会议审议了《关于脱贫攻坚责任制实施办法落实情况的督察报告》、《宁夏回族自治区关于空间规划（多规合一）试点工作情况的报告》。	农业农村
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议指出，建设主体功能区是我国经济发展和生态环境保护的大战略。完善主体功能区战略和制度，要发挥主体功能区作为国土空间开发保护基础制度作用，推动主体功能区战略格局在市县层面精准落地，健全不同主体功能区差异化协同发展长效机制，加快体制改革和法治建设，为优化国土空间开发保护格局、创新国家空间发展模式夯实基础。	区域发展
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议指出，探索建立涉农资金统筹整合长效机制，是推进农业供给侧结构性改革的重要途径。要加强财政支农政策顶层设计，优化财政支农投入供给，推进行业内资金整合与行业间资金统筹相互衔接配合，理顺涉农资金管理体系，创新涉农资金使用管理机制，改革和完善农村投融资体制，切实提高国家支农政策效果和支农资金使用效益。	农业农村
